Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy	Heat_Capacity	Heat_Capacity_Over_Temp	Entropy	Prob1	Prob0	Prob_-1
9.853	0.0321991	0.0328657	0.0301088	6.0139e-005	6.53765e-005	5.38768e-005	-154.511	15.4227	1.56527	0.000160037	0.335427	0.334857	0.329715
9.852	0.0328194	0.0313981	0.0325255	5.85321e-005	5.681e-005	5.80318e-005	-156.981	13.9429	1.41524	0.000161245	0.335878	0.33543	0.328692
9.851	0.0321366	0.0315139	0.0313657	5.71102e-005	5.779e-005	5.87117e-005	-153.197	13.385	1.35874	0.000162337	0.335336	0.335163	0.329501
9.85	0.0307639	0.0313333	0.03175	5.454e-005	5.50866e-005	6.01374e-005	-157.317	13.9701	1.41829	0.000163386	0.335389	0.335863	0.328748
9.849	0.032081	0.0320023	0.0319097	6.52129e-005	5.96022e-005	5.83903e-005	-155.669	13.7354	1.3946	0.00016448	0.335394	0.335225	0.32938
9.848	0.0318912	0.0317083	0.0322431	5.81244e-005	6.14301e-005	6.19912e-005	-155.477	13.6469	1.38575	0.000165556	0.335602	0.335076	0.329323
9.847	0.0323218	0.0322384	0.0316435	5.92079e-005	5.7027e-005	6.06954e-005	-154.133	13.3047	1.35114	0.000166625	0.335248	0.335255	0.329497
9.846	0.0339653	0.0322755	0.0336273	6.18123e-005	6.23814e-005	6.78559e-005	-155.201	14.0463	1.4266	0.000167668	0.334903	0.335458	0.32964
9.845	0.0315972	0.0314653	0.0332639	5.67217e-005	5.92829e-005	6.44295e-005	-159.468	13.5757	1.37894	0.000168769	0.335255	0.335578	0.329167
9.844	0.0327407	0.0306111	0.0330185	6.34247e-005	5.64174e-005	5.91436e-005	-156.541	13.9703	1.41917	0.000169833	0.334907	0.335492	0.3296
9.843	0.0320949	0.0325162	0.0324653	6.07025e-005	5.97748e-005	6.17235e-005	-155.814	13.7255	1.39445	0.000170928	0.33535	0.33509	0.329559
9.842	0.0323264	0.0325903	0.0322824	6.37776e-005	6.57763e-005	5.70523e-005	-157.173	13.74	1.39606	0.000172004	0.335146	0.33536	0.329494
9.841	0.0327153	0.0311528	0.033044	6.62156e-005	5.55287e-005	6.41073e-005	-157.29	14.4714	1.47052	0.000173081	0.335427	0.335202	0.32937
