Temp	Magnetism_1_Incorrect	Magnetism_2_Incorrect	Susceptibility_1_Incorrect	Susceptibility_2_Incorrect	Energy_Incorrect	Heat_Capacity_Incorrect	Heat_Capacity/Temp_Incorrect	Entropy_Incorrect	Prob3	Prob2	Prob1	Prob0	Prob_neg1	Prob_neg2	Prob_neg3
1.909	-0.0158606	0.0158606	0.00440692	0.00440692	-521.183	650.224	340.61	0.870838	0	0	0.345114	0.309772	0.345114	0	0
1.91	-0.0277282	0.0277282	0.00436072	0.00436072	-518.148	603.66	316.053	0.871217	0	0	0.344634	0.310731	0.344634	0	0
1.911	-0.0250243	0.0250243	0.00442751	0.00442751	-518.151	627.332	328.274	0.871568	0	0	0.345415	0.309169	0.345415	0	0
1.912	-0.00138446	0.00138446	0.0047251	0.0047251	-522.863	554.568	290.046	0.871933	0	0	0.345479	0.309043	0.345479	0	0
1.913	-0.0123528	0.0123528	0.00646274	0.00646274	-521.518	559.643	292.547	0.872255	0	0	0.345397	0.309206	0.345397	0	0
1.914	-0.000217491	0.000217491	0.00460597	0.00460597	-517.179	590.411	308.47	0.87258	0	0	0.345205	0.30959	0.345205	0	0
1.915	-0.00542176	0.00542176	0.00463958	0.00463958	-513.995	487.296	254.463	0.872923	0	0	0.34457	0.310861	0.34457	0	0
1.916	0.0117545	-0.0117545	0.00473562	0.00473562	-520.942	643.679	335.949	0.873206	0	0	0.345441	0.309117	0.345441	0	0
1.917	-0.00437543	0.00437543	0.00537792	0.00537792	-517.55	623.009	324.992	0.873579	0	0	0.345039	0.309922	0.345039	0	0
1.918	-0.0135072	0.0135072	0.00423278	0.00423278	-520.04	514.173	268.078	0.87394	0	0	0.345414	0.309172	0.345414	0	0
1.919	0.00841646	-0.00841646	0.00522138	0.00522138	-517.909	621.192	323.706	0.874238	0	0	0.344877	0.310245	0.344877	0	0
1.92	-0.015268	0.015268	0.00444549	0.00444549	-501.156	537.055	279.716	0.874597	0	0	0.342732	0.314537	0.342732	0	0
1.921	0.00671728	-0.00671728	0.0045365	0.0045365	-514.356	638.516	332.387	0.874908	0	0	0.344766	0.310468	0.344766	0	0
1.922	-0.0124786	0.0124786	0.00419595	0.00419595	-514.122	594.659	309.396	0.875278	0	0	0.344766	0.310467	0.344766	0	0
1.923	-0.0326066	0.0326066	0.0047195	0.0047195	-515.905	606.036	315.151	0.875621	0	0	0.344599	0.310802	0.344599	0	0
1.924	0.00481381	-0.00481381	0.00438411	0.00438411	-510.876	586.782	304.98	0.875972	0	0	0.343738	0.312525	0.343738	0	0
1.925	-0.007745	0.007745	0.00469227	0.00469227	-515.779	536.166	278.528	0.87631	0	0	0.344891	0.310217	0.344891	0	0
1.926	-0.0136653	0.0136653	0.00453783	0.00453783	-512.455	540.189	280.472	0.87662	0	0	0.344515	0.310969	0.344515	0	0
1.927	-0.0144352	0.0144352	0.00452114	0.00452114	-510.473	622.932	323.265	0.876932	0	0	0.34373	0.312539	0.34373	0	0
1.928	0.0146022	-0.0146022	0.00485627	0.00485627	-508.993	582.855	302.311	0.877291	0	0	0.343711	0.312579	0.343711	0	0
